file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00521_0012_58575_to_62960,སེར་ཞིང་མཛེས་པའི་པད་ཁའི་མེ་ཏོག་བཞད་པའི་ཞིང་ཁར་འཕུར་བ་ཡིན།  ,ser zhing mdzes pa'i pad kha'i me tog bzhad pa'i zhing khar 'phur ba yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00521_0012_58575_to_62960.wav,STT_AB,2,59,4.385,wav16k/STT_AB00521_0012_58575_to_62960.wav,གསེར་ཞིང་མཛེས་པའི་པད་ཁའི་མེ་ཏོག་ཞེས་པའི་ཞིང་ཁར་འཕུར་བ་ཡིན།
STT_NS_M0411_0130_982602_to_988097,ད་དེ་ཚོ་ལ་ད་ང་ཚོ་གལ་སྲིད་ད་བྲིས་བ་འདྲ་ཞིག་ཡིན་ན་ཡོད་བ། ད་ཁོ་ཚོ་སུ།  ,da de tsho la da nga tsho gal srid da bris ba 'dra zhig yin na yod ba/_da kho tsho su/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0411_0130_982602_to_988097.wav,STT_NS,2,68,5.495,wav16k/STT_NS_M0411_0130_982602_to_988097.wav,དེ་ཚོ་ལ་ད་ང་ཚོ་གལ་སྲིད་ད་བྲིག་དག་ས་འདྲ་ཞིག་ཡིན་ན་ཡོད་བ། ད་་ཚོ་སུ།
STT_AB00521_0032_142977_to_145588,ཚོང་ཁང་ཞིག་ནས་ཁ་ཟས་ཤིག་བརྐུས་པ་ཡིན།  ,tshong khang zhig nas kha zas shig brkus pa yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00521_0032_142977_to_145588.wav,STT_AB,2,37,2.611,wav16k/STT_AB00521_0032_142977_to_145588.wav,ཚོང་ཁང་ཞིག་ནས་ཁ་ཟས་ཤིག་བརྐྱུས་པ་ཡིན།
STT_HS0002_0523_3017295_to_3026697,ཨེ་ནས་ཆོས་ཨེ་འདྲའི་ཅིག་སྡིག་པ་ཆགས་ན་ཨེ་འདྲའི་གཅིག་ཡོང་གི་ཡོད་རེད། ད་ང་མི་ཚེ་གཅིག་ལ་ཨེ་འདྲའི་བསྡད་བསྡད་བསྡད་ན་ཡག་པོ་འདུག བསྡད་ན་ནི་ཡང་ང་ཚོ་མི་གཅིག་འཕྱ་ལད་ཚ་བོ་ཡོད་རེད་བ། ཕ་མ་གཡུགས་ནས་ཨེ་འདྲའི་བསྡད་སོང་བསམ།  ,e nas chos e 'dra'i cig sdig pa chags na e 'dra'i gcig yong gi yod red/_da nga mi tshe gcig la e 'dra'i bsdad bsdad bsdad na yag po 'dug_bsdad na ni yang nga tsho mi gcig 'phya lad tsha bo yod red ba/_pha ma g.yugs nas e 'dra'i bsdad song bsam/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_HS0002_0523_3017295_to_3026697.wav,STT_HS,2,206,9.402,wav16k/STT_HS0002_0523_3017295_to_3026697.wav,ཨེ་ནས་ཆོས་ཨེ་འདྲའི་ད་སྡིག་པ་ཆགས་ན་ཨེ་འདྲའི་ཅིག་ཡོང་གི་ཡོད་རེད། ད་ང་མི་ཚེ་གཅིག་ལ་ཨེ་འདྲའ་བསྡད། བསྡད་བསྡད་ན་ཡག་པོ་འདུག བསྡད་ན་ནི་ཡང་ང་ཚོ་མི་ཅིག་འཕྱག་ལད་ཚ་བོ་ཡོད་རེད་བ།། ཕ་མ་གཡུགས་ནས་ཨེ་འདྲའི་བསྡད་སོང་ཟེ།
STT_NS_M0411_0235_1754844_to_1764419,ང་ཚོ་ད་ད་ལྟ་པེ་ཤ་བསགས་བ་འདྲ་ཅིག་ཡིན་ན་ད་ང་ཚོ་ཟ་ན་གལ་ཡོད་མ་རེད་ལབ་ཡ་ཅིག་ཡོད་རཱ་ཡོད་བ། ད་སང་ཉིན་ཟ་བ་འདྲ་ཞིག་ཡིན་ན། གལ་སྲིད་སང་ཉིན་ང་ཚོ་ལངས་ལངས་ཡ་མེད་བ་འདྲ་ཞིག་ཡིན་ན་ཡོད་བ། ཨེ་ནས་སང་ཉིན་ཟ་མྱི།  ,nga tsho da da lta pe sha bsags ba 'dra cig yin na da nga tsho za na gal yod ma red lab ya cig yod rA yod ba/_da sang nyin za ba 'dra zhig yin na/_gal srid sang nyin nga tsho langs langs ya med ba 'dra zhig yin na yod ba/_e nas sang nyin za myi/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0411_0235_1754844_to_1764419.wav,STT_NS,2,191,9.575,wav16k/STT_NS_M0411_0235_1754844_to_1764419.wav,ང་ཚོ་ད་ད་ལྟ་པེ་ཤ་བསགས་པ་འདྲ་ཅིག་ཡིན་ན་ད་ང་ཚོ་ཟ་ན་གལ་ཡོད་མ་རེད་ལབ་ཡ་ཅིག་ཡོད་རེད་ཡོད་བ། ད་སང་ཉིན་བསགས་པ་དང་གལ་སྲིད་སང་ཉིན་ང་ཚོ་ལངས་ལངས་ཡ་མེད་བ་འདྲ་ཅིག་ཡིན་ན་ཡོད་བ། ཨེ་ནས་སང་ཉིན་ཟ་མྱི།
STT_NS_M0412_0122_882607_to_888043,ཁ་ཤས་ཅིག་ང་ཚོ་གི་མི་ཚེའི་ནང་ལ་བཏང་བཞག་གི་ཡོད་རེད་ཡོད་བ། ད་བྱས་ཙང་ད་ང་ཚོ།  ,kha shas cig nga tsho gi mi tshe'i nang la btang bzhag gi yod red yod ba/_da byas tsang da nga tsho/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0412_0122_882607_to_888043.wav,STT_NS,2,74,5.436,wav16k/STT_NS_M0412_0122_882607_to_888043.wav,ང་ཤོས་ཅིག་ང་ཚོ་གི་ཨེ་མི་ཚེའི་ནང་ལ་བཏང་བཞག་གི་ཡོད་རེད་ཡོད་བ། ད་བྱས་ཙང་ད་ང་ཚོ།
STT_AB00615_0046_278545_to_280668,ཇི་ལྟར་བཟུང་བ་ལྟར་དུ་མེད་པར་གཏན་ལ་ ,ji ltar bzung ba ltar du med par gtan la _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00615_0046_278545_to_280668.wav,STT_AB,2,35,2.123,wav16k/STT_AB00615_0046_278545_to_280668.wav,ཇི་ལྟར་བཟུང་བ་ལྟར་དུ་མེད་པར་གཏན་ལ་
STT_AB00731_0037_259343_to_262448,དེ་དག་གིས་ང་ཚོར་རྫོགས་མཐའ་བྲལ་བའི་བདེ་སྐྱིད་སྟེར་གྱི་ཡོད།  ,de dag gis nga tshor rdzogs mtha' bral ba'i bde skyid ster gyi yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00731_0037_259343_to_262448.wav,STT_AB,2,59,3.105,wav16k/STT_AB00731_0037_259343_to_262448.wav,དེ་དག་གིས་ང་ཚོར་རྫོགས་མཐའ་འདྲ་བའི་བདེ་སྐྱིད་སྟེར་གྱི་ཡོད།
STT_NS_M0412_0284_1725058_to_1730219,གཏང་ཐུབ་མྱི་ཅིག་ཡོད་པ་འདྲ་ཞིག་ཡིན་ན་ཡོད་བ། ག་བྱེད་དགོས་རེད་ལབ་ན་ང་ཚོ་ག་ལབ་དགོས་རེད།  ,gtang thub myi cig yod pa 'dra zhig yin na yod ba/_ga byed dgos red lab na nga tsho ga lab dgos red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0412_0284_1725058_to_1730219.wav,STT_NS,2,85,5.161,wav16k/STT_NS_M0412_0284_1725058_to_1730219.wav,གཏང་ཐུབ་མྱི་ཅིག་ཡོད་བ་འདྲ་ཞིག་ཡིན་ན་ཡོད་བ། ག་ར་བྱེད་དགོས་རེད་ལབ་ན་ང་ཚོ་ག་རེ་ལབ་དགོས་རེད་ཨེ།
STT_NS_M0411_0031_260729_to_268037,ཨེ་ནས་ག་ལབ་དགོས་རེད་ད་ང་ཚོ་ད་སོ་སོ་སོ་རི་དྭགས་བརྒྱབ་ནས་ང་ཚོ་སེམས། སེམས་ཅན་ཟ་ཡ་དང་། ཨེ་ནས་ཁ་ལག་ཟ་ཡ་དང་།  ,e nas ga lab dgos red da nga tsho da so so so ri dwags brgyab nas nga tsho sems/_sems can za ya dang /_e nas kha lag za ya dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0411_0031_260729_to_268037.wav,STT_NS,2,104,7.308,wav16k/STT_NS_M0411_0031_260729_to_268037.wav,ཨེ་ནས་ག་ལབ་དགོས་རེད་ད་ང་ཚོ་ད་སོ་སོ་སོ་སོ་རི་དྭགས་བརྒྱབ་ནས་ང་ཚོ་སེམས་སེམས་ཅན་ཟ་ཡ་དང་། ཨེ་ནས་ཁ་ལག་ཟ་ཡ་དང་།
